,PartitionKey,RowKey,Timestamp,message,etag
91,U4119d43ab61a534534f8068552000339,1582604259,2020-02-25 04:17:40.001332+00:00,ดีจ้า,"W/""datetime'2020-02-25T04%3A17%3A40.0013328Z'"""
92,U4119d43ab61a534534f8068552000339,1582604445,2020-02-25 04:20:45.715605+00:00,img : Ascaris,"W/""datetime'2020-02-25T04%3A20%3A45.7156052Z'"""
93,U4119d43ab61a534534f8068552000339,1582604837,2020-02-25 04:27:17.138003+00:00,img : Ascaris,"W/""datetime'2020-02-25T04%3A27%3A17.1380032Z'"""
94,U4119d43ab61a534534f8068552000339,1582607459,2020-02-25 05:10:59.079465+00:00,img : Trichuris,"W/""datetime'2020-02-25T05%3A10%3A59.0794652Z'"""
95,U4119d43ab61a534534f8068552000339,1582607484,2020-02-25 05:11:24.863936+00:00,img : not a parasite image,"W/""datetime'2020-02-25T05%3A11%3A24.8639367Z'"""
96,U427c4a38f8038ffe84f7f5c0aad74dd9,1582604437,2020-02-25 04:20:37.735017+00:00,img : Trichuris,"W/""datetime'2020-02-25T04%3A20%3A37.7350174Z'"""
97,U427c4a38f8038ffe84f7f5c0aad74dd9,1582605400,2020-02-25 04:36:40.800795+00:00,img : Trichuris,"W/""datetime'2020-02-25T04%3A36%3A40.8007957Z'"""
98,U427c4a38f8038ffe84f7f5c0aad74dd9,1582605425,2020-02-25 04:37:05.826433+00:00,img : Ascaris,"W/""datetime'2020-02-25T04%3A37%3A05.826433Z'"""
99,U427c4a38f8038ffe84f7f5c0aad74dd9,1582605494,2020-02-25 04:38:14.561773+00:00,img : Ascaris,"W/""datetime'2020-02-25T04%3A38%3A14.5617733Z'"""
100,U427c4a38f8038ffe84f7f5c0aad74dd9,1582607543,2020-02-25 05:12:23.481600+00:00,img : not a parasite image,"W/""datetime'2020-02-25T05%3A12%3A23.4816001Z'"""
101,U427c4a38f8038ffe84f7f5c0aad74dd9,1582607559,2020-02-25 05:12:39.423766+00:00,img : hookworms,"W/""datetime'2020-02-25T05%3A12%3A39.4237663Z'"""
102,U427c4a38f8038ffe84f7f5c0aad74dd9,1582607596,2020-02-25 05:13:16.817271+00:00,img : hookworms,"W/""datetime'2020-02-25T05%3A13%3A16.8172711Z'"""
103,U427c4a38f8038ffe84f7f5c0aad74dd9,1582607608,2020-02-25 05:13:28.352885+00:00,img : hookworms,"W/""datetime'2020-02-25T05%3A13%3A28.3528859Z'"""
104,U427c4a38f8038ffe84f7f5c0aad74dd9,1582607616,2020-02-25 05:13:36.449531+00:00,img : Enterobius,"W/""datetime'2020-02-25T05%3A13%3A36.4495313Z'"""
105,U427c4a38f8038ffe84f7f5c0aad74dd9,1582607654,2020-02-25 05:14:14.830512+00:00,img : hookworms,"W/""datetime'2020-02-25T05%3A14%3A14.8305129Z'"""
106,U430f6c6f40b826427f6da6dbae55dbb9,1582604251,2020-02-25 04:17:31.437088+00:00,สวัสดี สิริ,"W/""datetime'2020-02-25T04%3A17%3A31.437088Z'"""
107,U430f6c6f40b826427f6da6dbae55dbb9,1582604266,2020-02-25 04:17:46.411147+00:00,สวัสดี,"W/""datetime'2020-02-25T04%3A17%3A46.4111475Z'"""
108,U430f6c6f40b826427f6da6dbae55dbb9,1582604281,2020-02-25 04:18:01.756229+00:00,img : Trichuris,"W/""datetime'2020-02-25T04%3A18%3A01.7562298Z'"""
109,U430f6c6f40b826427f6da6dbae55dbb9,1582604422,2020-02-25 04:20:22.592141+00:00,img : Trichuris,"W/""datetime'2020-02-25T04%3A20%3A22.5921412Z'"""
110,U430f6c6f40b826427f6da6dbae55dbb9,1582604429,2020-02-25 04:20:29.248051+00:00,ไข่พยาธิชื่อว่าอะไร,"W/""datetime'2020-02-25T04%3A20%3A29.2480511Z'"""
111,U430f6c6f40b826427f6da6dbae55dbb9,1582604435,2020-02-25 04:20:35.605295+00:00,ชนิดของไข่พยาธิ,"W/""datetime'2020-02-25T04%3A20%3A35.6052959Z'"""
112,U4535fb31fd55fcf150309ac213c44979,1582168110,2020-02-20 03:08:31.465024+00:00,ส,"W/""datetime'2020-02-20T03%3A08%3A31.465024Z'"""
113,U4535fb31fd55fcf150309ac213c44979,1582168131,2020-02-20 03:08:53.465550+00:00,img : Enterobius,"W/""datetime'2020-02-20T03%3A08%3A53.4655504Z'"""
114,U4535fb31fd55fcf150309ac213c44979,1582168138,2020-02-20 03:08:59.331559+00:00,รู้ได้อย่างไรว่าติดพยาธิ,"W/""datetime'2020-02-20T03%3A08%3A59.3315592Z'"""
115,U4535fb31fd55fcf150309ac213c44979,1582168163,2020-02-20 03:09:24.836929+00:00,อาการ,"W/""datetime'2020-02-20T03%3A09%3A24.8369291Z'"""
116,U4535fb31fd55fcf150309ac213c44979,1582168240,2020-02-20 03:10:41.560646+00:00,วิธีการรักษา,"W/""datetime'2020-02-20T03%3A10%3A41.5606462Z'"""
117,U4535fb31fd55fcf150309ac213c44979,1582174192,2020-02-20 04:49:52.554574+00:00,ส,"W/""datetime'2020-02-20T04%3A49%3A52.5545741Z'"""
118,U4535fb31fd55fcf150309ac213c44979,1582174363,2020-02-20 04:52:43.547809+00:00,ส,"W/""datetime'2020-02-20T04%3A52%3A43.547809Z'"""
119,U4535fb31fd55fcf150309ac213c44979,1582174470,2020-02-20 04:54:31.006408+00:00,ส,"W/""datetime'2020-02-20T04%3A54%3A31.0064083Z'"""
120,U4535fb31fd55fcf150309ac213c44979,1582174487,2020-02-20 04:54:47.654025+00:00,img : Enterobius,"W/""datetime'2020-02-20T04%3A54%3A47.6540251Z'"""
121,U4535fb31fd55fcf150309ac213c44979,1582174490,2020-02-20 04:54:50.370745+00:00,รู้ได้อย่างไรว่าติดพยาธิ,"W/""datetime'2020-02-20T04%3A54%3A50.3707457Z'"""
122,U4535fb31fd55fcf150309ac213c44979,1582174494,2020-02-20 04:54:54.866583+00:00,อาการ,"W/""datetime'2020-02-20T04%3A54%3A54.8665836Z'"""
123,U4535fb31fd55fcf150309ac213c44979,1582174498,2020-02-20 04:54:59.054940+00:00,ลักษณะทั่วไปตัวเต็มวัย,"W/""datetime'2020-02-20T04%3A54%3A59.0549409Z'"""
124,U4535fb31fd55fcf150309ac213c44979,1582174501,2020-02-20 04:55:01.980434+00:00,ไข่พยาธิชื่อว่าอะไร,"W/""datetime'2020-02-20T04%3A55%3A01.9804346Z'"""
125,U4535fb31fd55fcf150309ac213c44979,1582174506,2020-02-20 04:55:06.081425+00:00,ก่อให้เกิดโรคอะไร,"W/""datetime'2020-02-20T04%3A55%3A06.0814255Z'"""
126,U4535fb31fd55fcf150309ac213c44979,1582174513,2020-02-20 04:55:13.165027+00:00,ติดต่อสู่คนได้อย่างไร,"W/""datetime'2020-02-20T04%3A55%3A13.1650273Z'"""
127,U4535fb31fd55fcf150309ac213c44979,1582174527,2020-02-20 04:55:27.820433+00:00,img : Ascaris,"W/""datetime'2020-02-20T04%3A55%3A27.8204331Z'"""
128,U4535fb31fd55fcf150309ac213c44979,1582174531,2020-02-20 04:55:31.761771+00:00,อาการ,"W/""datetime'2020-02-20T04%3A55%3A31.7617717Z'"""
129,U4535fb31fd55fcf150309ac213c44979,1582174537,2020-02-20 04:55:37.543925+00:00,ชนิดของไข่พยาธิ,"W/""datetime'2020-02-20T04%3A55%3A37.5439258Z'"""
